Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SWKS,Skyworks Solutions Inc.,106.43,$19.56B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks
SLM,SLM Corporation,10.22,$4.41B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slm
SLMBP,SLM Corporation,67.84,$271.36M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slmbp
SGH,SMART Global Holdings Inc.,22.7,$492.09M,2017,Technology,Semiconductors,http://www.nasdaq.com/symbol/sgh
SND,Smart Sand Inc.,5.95,$240.22M,2016,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/snd
SMBK,SmartFinancial Inc.,23.61,$194.12M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/smbk
SMSI,Smith Micro Software Inc.,1.01,$14.44M,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/smsi
SMTX,SMTC Corporation,1.32,$22.21M,2000,Technology,Electrical Products,http://www.nasdaq.com/symbol/smtx
LNCE,Snyder&#39;s-Lance Inc.,35.57,$3.44B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/lnce
SRAX,Social Reality Inc.,1.39,$11.15M,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/srax
SCKT,Socket Mobile Inc.,3.71,$22.26M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/sckt
SODA,SodaStream International Ltd.,58.23,$1.26B,2010,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/soda
SOHU,Sohu.com Inc.,54.66,$2.12B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sohu
SLRC,Solar Capital Ltd.,21.31,$900.58M,2010,n/a,n/a,http://www.nasdaq.com/symbol/slrc
SUNS,Solar Senior Capital Ltd.,16.17,$259.25M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/suns
SEDG,SolarEdge Technologies Inc.,26.25,$1.1B,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/sedg
SLNO,Soleno Therapeutics Inc.,0.57,$27.32M,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/slno
SLNOW,Soleno Therapeutics Inc.,0.0716,n/a,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/slnow
SNGX,Soligenix Inc.,2.24,$12.82M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sngx
SNGXW,Soligenix Inc.,0.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sngxw
SONC,Sonic Corp.,22.27,$931.09M,1991,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sonc
SOFO,Sonic Foundry Inc.,3.11,$13.86M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sofo
SNOA,Sonoma Pharmaceuticals Inc.,5.5,$23.69M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snoa
SNOAW,Sonoma Pharmaceuticals Inc.,0.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snoaw
SONS,Sonus Networks Inc.,6.87,$341.34M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sons
SPHS,Sophiris Bio Inc.,2.1,$63.23M,2013,n/a,n/a,http://www.nasdaq.com/symbol/sphs
SORL,SORL Auto Parts Inc.,3.95,$76.25M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sorl
SRNE,Sorrento Therapeutics Inc.,1.775,$135.86M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/srne
SOHO,Sotherly Hotels Inc.,5.84,$80.68M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/soho
SOHOB,Sotherly Hotels Inc.,25.7,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sohob
SOHOM,Sotherly Hotels LP,25.4956,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sohom
SFBC,Sound Financial Bancorp Inc.,32.5,$81.58M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sfbc
SSB,South State Corporation,78.7,$2.3B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb
SFST,Southern First Bancshares Inc.,33.55,$245.39M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfst
SMBC,Southern Missouri Bancorp Inc.,32.67,$280.68M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/smbc
SONA,Southern National Bancorp of Virginia Inc.,16.27,$389.02M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sona
SBSI,Southside Bancshares Inc.,31.57,$926.42M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbsi
OKSB,Southwest Bancorp Inc.,24.55,$458.72M,1993,Finance,Major Banks,http://www.nasdaq.com/symbol/oksb
